player,team,from,to,played,start,sub,pts,tries,conv,pens,drop,gfm,won,lost,draw
PA Orr,Ire/Lions,1976,1987,59,59,0,0,0,0,0,0,0,20,36
SP Poidevin,Aust,1980,1991,59,59,0,24,6,0,0,0,0,37,19
JP Rives,Fra,1975,1984,59,59,0,20,5,0,0,0,0,39,17
MA Scelzo,Arg,1996,2011,59,33,26,50,10,0,0,0,0,34,24
HFG Southwell,Scot,2004,2011,59,42,17,40,8,0,0,0,0,22,36
BC Thorn,NZ,2003,2011,59,51,8,20,4,0,0,0,0,51,8
MZV Brooke,NZ,1987,1997,58,54,4,89,17,0,0,3,0,45,11
MD Chisholm,Aust,2004,2010,58,33,25,30,6,0,0,0,0,33,23
CM Cullen,NZ,1996,2002,58,56,2,236,46,3,0,0,0,42,14
IS Gibbs,Lions/Wales,1991,2001,58,58,0,55,11,0,0,0,0,27,29
GR Jenkins,Wales,1991,2000,58,52,6,10,2,0,0,0,0,34,24
V Korshunov,Russ,2002,2012,58,42,16,25,5,0,0,0,0,26,30
OJ Lewsey,Eng/Lions,1998,2007,58,56,2,110,22,0,0,0,0,33,25
D Ohata,Japan,1996,2006,58,55,3,345,69,0,0,0,0,27,30
A Parker,USA,1996,2009,58,51,7,5,1,0,0,0,0,23,35
M Rees,Lions/Wales,2005,2012,58,47,11,10,2,0,0,0,0,24,33
RP Ross,Can,1989,2003,58,40,18,419,7,51,84,10,0,30,28
RT Sanchez,Urug,1996,2009,58,51,7,10,2,0,0,0,0,21,37
GW Whetton,NZ,1981,1991,58,58,0,4,1,0,0,0,0,50,6
SW Borthwick,Eng,2001,2010,57,47,10,10,2,0,0,0,0,29,27
BC Cohen,Eng,2000,2006,57,54,3,155,31,0,0,0,0,40,17
WA Dooley,Eng/Lions,1985,1993,57,56,1,12,3,0,0,0,0,35,20
E Fairhurst,Can,2001,2012,57,35,22,46,4,4,6,0,0,22,34
WJH Greenwood,Eng/Lions,1997,2005,57,51,6,155,31,0,0,0,0,44,11
P Jimsheladze,Georg,1995,2007,57,55,2,320,9,61,48,3,0,35,20
DJ Jones,Wales,2001,2009,57,33,24,0,0,0,0,0,0,26,29
RN Jones,Lions/Wales,1986,1995,57,56,1,19,4,0,0,0,0,24,33
BT Kelleher,NZ,1999,2007,57,35,22,40,8,0,0,0,0,46,11
DP Leamy,Ire,2004,2011,57,41,16,10,2,0,0,0,0,36,20
G Leonte,Rom,1984,1995,57,57,0,19,4,0,0,0,0,26,31
I Machkhaneli,Georg,2002,2012,57,52,5,105,21,0,0,0,0,31,24
CG Rowntree,Eng/Lions,1995,2006,57,48,9,0,0,0,0,0,0,38,18
J Salazar Lizarraga,Spain,2000,2009,57,54,3,15,3,0,0,0,0,17,39
P Berbizier,Fra,1981,1991,56,55,1,28,7,0,0,0,0,32,23
OM Brown,NZ,1992,1998,56,56,0,20,4,0,0,0,0,40,14
MJ Cueto,Eng/Lions,2004,2011,56,56,0,100,20,0,0,0,0,29,26
MB James,Can,1994,2007,56,56,0,20,4,0,0,0,0,26,29
LMN Jones,NZ/Samoa,1986,1998,56,54,2,56,13,0,0,0,0,43,11
LR MacDonald,NZ,2000,2008,56,34,22,141,14,25,7,0,0,48,8
F Mesnel,Fra,1986,1995,56,54,2,41,8,0,0,3,0,38,17
F Michalak,Fra,2001,2012,56,37,19,271,9,41,42,6,0,39,16
BJ Mullin,Ire/Lions,1984,1995,56,56,0,72,17,1,0,0,0,19,36
AR Persico,Italy,2000,2006,56,45,11,10,2,0,0,0,0,15,41
JMD Pinto Neves,Port,2001,2012,56,38,18,22,3,2,1,0,0,22,30
JT Robinson,Eng/Lions,2001,2007,56,52,4,150,30,0,0,0,0,39,17
L Rodriguez,Fra,1981,1990,56,56,0,28,7,0,0,0,0,29,24
MA Williams,Can,1999,2008,56,52,4,68,13,0,0,1,0,18,36
DL Albanese,Arg,1995,2003,55,53,2,50,10,0,0,0,0,24,30
S Bettarello,Italy,1979,1988,55,54,1,483,7,46,104,17,0,26,25
A Enciso Fernandez-Valderama,Spain,1993,2006,55,52,3,40,8,0,0,0,0,20,35
ODA Finegan,Aust,1996,2003,55,34,21,30,6,0,0,0,0,37,16
CE Meads,NZ,1957,1971,55,55,0,21,7,0,0,0,0,41,10
R Paparemborde,Fra,1975,1983,55,55,0,32,8,0,0,0,0,34,20
LS Quinnell,Lions/Wales,1993,2002,55,53,2,60,12,0,0,0,0,31,23
GL Rees,Can,1986,1999,55,54,1,487,6,51,110,9,0,31,24
R Roncero,Arg,1998,2012,55,50,5,30,6,0,0,0,0,26,28
A Shakirov,Russ,2004,2012,55,35,20,25,5,0,0,0,0,22,32
K Tkachuk,Can,2000,2010,55,39,16,25,5,0,0,0,0,18,37
