date,home_team,away_team,home_tries,home_penalties,home_conversions,home_drop_goals,away_tries,away_penalties,away_conversions,away_drop_goals
2010-04-10,Brumbies,Cheetahs,9,0,8,0,2,1,1,0
2010-04-10,Lions,Reds,4,0,2,0,6,1,4,0
2010-04-16,Chiefs,Stormers,2,1,1,0,6,3,5,0
2010-04-16,Brumbies,Hurricanes,2,1,0,0,2,3,2,0
2010-04-17,Blues,Western Force,6,0,4,0,2,1,2,0
2010-04-17,Crusaders,Cheetahs,7,0,5,0,0,2,0,0
2010-04-17,Reds,Bulls,2,3,0,0,2,0,1,0
2010-04-17,Lions,Sharks,3,4,2,0,4,2,3,0
2010-04-23,Chiefs,Cheetahs,5,0,0,0,3,2,2,0
2010-04-24,Reds,Stormers,1,3,1,0,1,2,1,0
2010-04-24,Force,Crusaders,3,1,3,0,1,1,1,0
2010-04-24,Highlanders,Hurricanes,5,0,3,0,5,0,4,0
2010-04-24,Waratahs,Brumbies,1,1,1,0,0,4,0,0
2010-04-24,Bulls,Lions,6,5,3,0,1,2,0,0
2010-04-24,Sharks,Blues,1,5,0,1,1,1,1,0
2010-04-30,Highlanders,Waratahs,3,3,1,0,1,1,1,0
2010-04-30,Stormers,Crusaders,3,7,3,0,2,0,2,0
2010-05-01,Hurricanes,Chiefs,4,3,2,0,4,1,2,0
2010-05-01,Brumbies,Reds,4,2,3,0,0,4,0,0
2010-05-01,Cheetahs,Blues,5,1,4,0,4,2,2,0
2010-05-01,Lions,Force,0,3,0,0,3,4,3,0
2010-05-01,Bulls,Sharks,2,5,1,0,1,4,1,0
2010-05-07,Hurricanes,Reds,6,2,4,0,3,0,3,0
2010-05-08,Bulls,Crusaders,3,4,2,2,4,2,2,1
2010-05-08,Chiefs,Waratahs,3,0,2,0,7,1,4,0
2010-05-08,Brumbies,Highlanders,4,1,4,0,0,1,0,0
2010-05-08,Lions,Blues,2,0,2,0,7,4,1,0
2010-05-08,Cheetahs,Force,4,1,3,0,2,0,2,0
2010-05-08,Sharks,Stormers,2,2,2,0,2,0,2,0
2010-05-14,Crusaders,Brumbies,5,3,3,0,3,1,2,0
2010-05-14,Waratahs,Hurricanes,4,2,3,0,1,3,1,0
2010-05-15,Sharks,Force,3,3,2,0,1,5,1,0
2010-05-15,Blues,Chiefs,5,1,1,0,2,2,2,0
2010-05-15,Reds,Highlanders,6,0,1,0,5,1,4,0
2010-05-15,Cheetahs,Lions,9,0,7,0,1,1,1,0
2010-05-15,Stormers,Bulls,4,4,3,0,1,1,1,0
2010-05-22,Bulls,Crusaders,3,5,3,0,3,1,3,0
2010-05-22,Stormers,Waratahs,1,6,1,0,0,1,0,1
2010-05-30,Bulls,Stormers,1,6,1,0,2,1,2,0
2009-02-13,Highlanders,Brumbies,5,0,3,0,4,2,2,1
2009-02-13,Force,Blues,3,0,2,0,4,1,1,1
2009-02-13,Lions,Cheetahs,4,0,3,2,3,3,2,2
2009-02-14,Crusaders,Chiefs,3,0,1,0,2,1,0,1
2009-02-14,Hurricanes,Waratahs,3,3,0,0,4,0,3,1
2009-02-14,Stormers,Sharks,2,1,1,0,2,2,2,1
2009-02-14,Bulls,Reds,4,3,2,0,2,1,2,1
2009-02-20,Hurricanes,Highlanders,3,1,2,0,2,1,2,0
2009-02-20,Waratahs,Chiefs,1,1,0,1,1,0,1,1
2009-02-20,Force,Cheetahs,1,2,1,1,1,1,1,0
2009-02-20,Stormers,Reds,3,2,3,0,4,0,2,11
2009-02-21,Brumbies,Crusaders,2,2,1,0,2,2,0,1
2009-02-21,Bulls,Blues,7,3,6,1,4,0,2,13
2009-02-21,Sharks,Lions,3,2,2,0,1,0,1,1
2009-02-27,Crusaders,Hurricanes,4,0,2,0,3,3,3,0
2009-02-27,Waratahs,Highlanders,4,2,4,0,1,3,1,0
2009-02-28,Chiefs,Sharks,2,1,1,0,3,1,2,0
2009-02-28,Lions,Bulls,0,3,0,0,1,3,1,1
2009-02-28,Stormers,Blues,1,1,0,0,1,3,0,0
2009-03-01,Reds,Cheetahs,3,1,2,0,0,1,0,0
2009-03-06,Chiefs,Force,4,1,4,0,1,2,1,0
2009-03-06,Waratahs,Reds,2,1,1,0,1,2,0,9
2009-03-07,Hurricanes,Cheetahs,4,1,3,0,2,0,1,11
2009-03-07,Blues,Sharks,3,1,2,0,4,2,3,1
2009-03-07,Highlanders,Crusaders,0,2,0,0,0,0,0,0
2009-03-07,Bulls,Stormers,1,2,0,1,1,0,1,1
2009-03-13,Blues,Cheetahs,6,2,5,0,2,0,1,0
2009-03-13,Brumbies,Waratahs,2,3,1,0,1,2,0,0
2009-03-14,Crusaders,Force,3,2,1,0,2,3,2,17
2009-03-14,Highlanders,Chiefs,1,1,1,0,2,0,1,0
2009-03-14,Reds,Sharks,3,2,2,0,1,2,1,18
2009-03-14,Stormers,Lions,8,2,5,0,2,2,1,0
2009-03-20,Hurricanes,Bulls,2,0,2,0,1,4,1,0
2009-03-21,Highlanders,Cheetahs,5,1,2,0,1,1,0,21
2009-03-21,Chiefs,Blues,9,0,9,0,5,1,2,3
2009-03-21,Waratahs,Crusaders,1,2,1,0,2,1,2,0
2009-03-21,Force,Sharks,1,1,1,0,3,0,2,1
2009-03-21,Lions,Brumbies,3,1,2,1,2,1,2,4
2009-03-27,Blues,Waratahs,3,1,2,0,3,2,1,0
2009-03-28,Highlanders,Bulls,5,1,3,0,2,0,1,3
2009-03-28,Crusaders,Stormers,1,1,0,0,1,0,1,3
2009-03-28,Reds,Chiefs,4,0,3,0,6,4,4,0
2009-03-28,Sharks,Brumbies,5,0,5,0,2,0,2,3
2009-03-28,Lions,Hurricanes,4,2,1,0,5,1,2,1
2009-04-03,Crusaders,Bulls,1,2,1,1,2,1,0,2
2009-04-03,Force,Reds,5,2,4,0,1,0,1,0
